storeId,store_name,store_image,store_rating,store_category,store_address,store_view,store_review
0,미영이네식당,"https://mp-seoul-image-production-s3.mangoplate.com/14929/765769_1501045132814_19649?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.7,해산물 요리,제주 모슬포/화순 ,"251,493",106
1,스시호시카이,"https://mp-seoul-image-production-s3.mangoplate.com/183601/2079053_1633961991545_7055?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.6,회 / 스시,제주 제주시내 ,"181,103",50
2,남양수산,"https://mp-seoul-image-production-s3.mangoplate.com/1799695_1620454174648977.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.6,해산물 요리,제주 성산/우도 ,"406,563",112
3,상춘재,"https://mp-seoul-image-production-s3.mangoplate.com/sources/web/restaurants/183680/1062290_1594966931482?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,한정식 / 백반 / 정통 한식,제주 함덕/김녕 ,"473,004",132
4,숙성도,"https://mp-seoul-image-production-s3.mangoplate.com/1514074_1595943058420449.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,고기 요리,제주 제주시내 ,"155,020",81
5,윌라라,"https://mp-seoul-image-production-s3.mangoplate.com/189499/652152_1632044381392_13823?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,시푸드 요리,제주 성산/우도 ,"34,643",18
6,우연못,"https://mp-seoul-image-production-s3.mangoplate.com/439151/rm2g1nkyclflkb.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,카페 / 디저트,제주 제주시내 ,"8,096",8
7,르부이부이,"https://mp-seoul-image-production-s3.mangoplate.com/396373/1023176_1661954481426_83496?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,프랑스 음식,제주 제주시내 ,"8,695",5
8,논짓물,"https://mp-seoul-image-production-s3.mangoplate.com/18705/8-oyultlnzzu_u.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.5,한정식 / 백반 / 정통 한식,제주 제주시내 ,"19,114",12
9,곰막,"https://mp-seoul-image-production-s3.mangoplate.com/1840481_1632234938924790.jpg?fit=around|359:240&crop=359:240;*,*&output-format=jpg&output-quality=80",4.4,해산물 요리,제주 함덕/김녕 ,"200,663",94
